URL,Performance,SEO,Accessibility,LCP,FCP,TBT,SpeedIndex,CLS,Desktop,Mobile,Performance Average (Desktop),Performance Average (Mobile)
"https://www.apple.com/",66.00%,92.00%,93.00%,4.6 s,2.0 s,0 ms,2.2 s,0,Yes,No,67.78%,55.00%
"https://www.apple.com/",73.00%,92.00%,93.00%,2.8 s,2.1 s,0 ms,2.1 s,0,Yes,No,67.78%,55.00%
"https://www.apple.com/",55.00%,92.00%,97.00%,21.8 s,12.4 s,80 ms,12.4 s,0,No,Yes,67.78%,55.00%
"https://www.apple.com/",55.00%,92.00%,97.00%,20.6 s,12.4 s,0 ms,12.4 s,0,No,Yes,67.78%,55.00%
"https://www.apple.com/",55.00%,92.00%,97.00%,19.7 s,12.4 s,0 ms,12.4 s,0,No,Yes,67.78%,55.00%
"https://www.amazon.in/",71.00%,85.00%,82.00%,2.2 s,2.2 s,70 ms,6.5 s,0.019,Yes,No,77.56%,65.00%
"https://www.amazon.in/",80.00%,85.00%,82.00%,1.6 s,1.5 s,60 ms,4.6 s,0,Yes,No,77.56%,65.00%
"https://www.amazon.in/",81.00%,85.00%,82.00%,1.5 s,1.4 s,50 ms,4.6 s,0,Yes,No,77.56%,65.00%
"https://www.amazon.in/",64.00%,92.00%,95.00%,5.5 s,3.7 s,70 ms,9.4 s,0,No,Yes,77.56%,65.00%
"https://www.amazon.in/",67.00%,92.00%,95.00%,4.5 s,4.1 s,80 ms,11.5 s,0,No,Yes,77.56%,65.00%
"https://www.amazon.in/",68.00%,92.00%,95.00%,4.3 s,3.9 s,100 ms,9.7 s,0,No,Yes,77.56%,65.00%
"https://www.flipkart.com/",67.00%,100.00%,80.00%,3.2 s,1.7 s,30 ms,3.1 s,0.082,Yes,No,78.11%,48.89%
"https://www.flipkart.com/",77.00%,100.00%,80.00%,1.9 s,1.8 s,30 ms,2.9 s,0.083,Yes,No,78.11%,48.89%
"https://www.flipkart.com/",80.00%,100.00%,80.00%,1.6 s,1.6 s,30 ms,2.9 s,0.083,Yes,No,78.11%,48.89%
"https://www.flipkart.com/",41.00%,85.00%,85.00%,15.5 s,4.1 s,800 ms,7.4 s,0,No,Yes,78.11%,48.89%
"https://www.flipkart.com/",47.00%,85.00%,91.00%,7.3 s,3.6 s,630 ms,6.9 s,0,No,Yes,78.11%,48.89%
"https://www.flipkart.com/",75.00%,85.00%,85.00%,3.5 s,2.5 s,310 ms,5.9 s,0,No,Yes,78.11%,48.89%
